"CATEGORY","TITLE","SYSTEM","FREQ","SR","MOD","RADIO","ENC","PIDS","TRACKS"
"1","1-2-3.tv","dvbc",122000,6900,"256qam",0,0,"P801:802:810:803","A803"
"3","3sat","dvbc",370000,6900,"256qam",0,0,"P200:210:230:220:221:222:225","A220:221:222:225"
"A","AJ Children","dvbc",826000,6900,"64qam",0,0,"P501:502:503","A503"
"A","Al Auola Inter","dvbc",818000,6900,"64qam",0,0,"P701:702:703","A703"
"A","Al Jazeera","dvbc",570000,6900,"256qam",0,0,"P701:702:703","A703"
"A","Al Jazeera International","dvbc",570000,6900,"256qam",0,0,"P201:202:203","A203"
"A","arirang","dvbc",826000,6900,"64qam",0,0,"P301:302:303","A303"
"A","arte","dvbc",362000,6900,"256qam",0,0,"P400:401:404:402:403","A402:403"
"A","Astro TV","dvbc",546000,6900,"256qam",0,0,"P1201:1202:1203","A1203"
"B","Bayerisches FS Nord","dvbc",346000,6900,"256qam",0,0,"P500:201:204:202:203:206","A202:203:206"
"B","Bayerisches FS Süd","dvbc",346000,6900,"256qam",0,0,"P200:201:204:202:203:206","A202:203:206"
"B","BBC PARLIAMENT","dvbc",610000,6900,"64qam",0,0,"P301:302:310:303","A303"
"B","BBC World News","dvbc",570000,6900,"256qam",0,0,"P901:902:903","A903"
"B","Bibel TV","dvbc",466000,6900,"256qam",0,0,"P901:902:910:903","A903"
"B","Bloomberg","dvbc",554000,6900,"256qam",0,0,"P401:402:410:403","A403"
"B","BR-alpha","dvbc",362000,6900,"256qam",0,0,"P1400:1401:1404:1402:1403:1406","A1402:1403:1406"
"B","BVN","dvbc",810000,6900,"64qam",0,0,"P1101:1102:1112:1110:1103","A1103"
"B","bw family","dvbc",130000,6900,"256qam",0,0,"P501:502:503:504","A503:504"
"C","Camera dei Deputati","dvbc",818000,6900,"64qam",0,0,"P201:202:210:203","A203"
"C","CCTV 9","dvbc",818000,6900,"64qam",0,0,"P1201:1202:1203","A1203"
"C","CCTV News","dvbc",570000,6900,"256qam",0,0,"P601:602:612:603","A603"
"C","Channel21","dvbc",122000,6900,"256qam",0,0,"P501:502:510:503","A503"
"C","CNN","dvbc",122000,6900,"256qam",0,0,"P901:902:903","A903"
"D","DAF-AnlegerTV","dvbc",818000,6900,"64qam",0,0,"P1301:1302:1303","A1303"
"D","Das Erste","dvbc",346000,6900,"256qam",0,0,"P100:101:104:102:103:106","A102:103:106"
"D","Das Erste HD","dvbc",362000,6900,"256qam",0,0,"P6000:6010:6030:6020:6021:6022","A6020:6021:6022"
"D","DAS VIERTE","dvbc",450000,6900,"256qam",0,0,"P101:102:110:103","A103"
"D","DELUXE MUSIC","dvbc",442000,6900,"256qam",0,0,"P601:602:603","A603"
"D","DIE NEUE ZEIT TV","dvbc",570000,6900,"256qam",0,0,"P1201:1202:1203","A1203"
"D","DM Digital","dvbc",738000,6900,"256qam",0,0,"P201:202:203","A203"
"D","DMAX","dvbc",122000,6900,"256qam",0,0,"P201:202:210:203","A203"
"D","DUNA","dvbc",810000,6900,"64qam",0,0,"P601:602:610:603","A603"
"D","DUNA II Atonomia","dvbc",810000,6900,"64qam",0,0,"P501:502:510:503","A503"
"E","EinsFestival","dvbc",362000,6900,"256qam",0,0,"P200:201:204:202:203:206","A202:203:206"
"E","EinsPlus","dvbc",362000,6900,"256qam",0,0,"P300:301:304:302:303:306","A302:303:306"
"E","ERF eins","dvbc",810000,6900,"64qam",0,0,"P301:302:303","A303"
"E","ETNO TV","dvbc",826000,6900,"64qam",0,0,"P601:602:603","A603"
"E","euronews","dvbc",426000,6900,"256qam",0,0,"P1101:1102:1110:1103:1104:1105:1106:1113:1114:1115:1116:1117:1118:1119:1120:1121","A1103:1104:1105:1106:1113:1114:1115:1116:1117:1118:1119:1120:1121"
"E","EUROSPORT","dvbc",450000,6900,"256qam",0,0,"P301:302:310:303","A303"
"F","France 24","dvbc",570000,6900,"256qam",0,0,"P101:102:103","A103"
"H","HABERTÜRK","dvbc",730000,6900,"256qam",0,0,"P1101:1102:1112:1103","A1103"
"H","HD Campus TV","dvbc",130000,6900,"256qam",0,0,"P301:302:312:303","A303"
"H","hr-fernsehen","dvbc",346000,6900,"256qam",0,0,"P300:301:304:302:303","A302:303"
"H","HSE24","dvbc",442000,6900,"256qam",0,0,"P801:802:810:803","A803"
"H","HSE24 EXTRA","dvbc",442000,6900,"256qam",0,0,"P1101:1102:1110:1103","A1103"
"I","iM1","dvbc",442000,6900,"256qam",0,0,"P401:402:403","A403"
"I","Info KabelBW","dvbc",130000,6900,"256qam",0,0,"P101:102:103","A103"
"J","Juwelo","dvbc",442000,6900,"256qam",0,0,"P501:502:503","A503"
"K","K-TV","dvbc",466000,6900,"256qam",0,0,"P1301:1302:1310:1303","A1303"
"K","kabel eins","dvbc",114000,6900,"256qam",0,0,"P601:602:610:603","A603"
"K","KabelBW Videothek","dvbc",610000,6900,"64qam",0,0,"P101:102:103","A103"
"K","KBW Test SD","dvbc",130000,6900,"256qam",0,0,"P401","A"
"K","Khabar TV","dvbc",818000,6900,"64qam",0,0,"P101:102:103","A103"
"K","KiKA","dvbc",370000,6900,"256qam",0,0,"P300:310:330:320:321:325","A320:321:325"
"M","MDR S-Anhalt","dvbc",354000,6900,"256qam",0,0,"P2900:2901:2904:2902:2903","A2902:2903"
"M","MDR Sachsen","dvbc",354000,6900,"256qam",0,0,"P2800:2901:2904:2902:2903","A2902:2903"
"M","MDR Thüringen","dvbc",354000,6900,"256qam",0,0,"P3000:2901:2904:2902:2903","A2902:2903"
"M","Mohajer","dvbc",818000,6900,"64qam",0,0,"P401:402:403","A403"
"N","n-tv","dvbc",114000,6900,"256qam",0,0,"P801:802:810:803","A803"
"N","N24","dvbc",114000,6900,"256qam",0,0,"P901:902:910:903","A903"
"N","NDR FS HH","dvbc",354000,6900,"256qam",0,0,"P2500:2601:2604:2602:2603","A2602:2603"
"N","NDR FS MV","dvbc",354000,6900,"256qam",0,0,"P2400:2601:2604:2602:2603","A2602:2603"
"N","NDR FS NDS","dvbc",354000,6900,"256qam",0,0,"P2600:2601:2604:2602:2603","A2602:2603"
"N","NDR FS SH","dvbc",354000,6900,"256qam",0,0,"P2700:2601:2604:2602:2603","A2602:2603"
"N","Nick/Comedy Central","dvbc",450000,6900,"256qam",0,0,"P201:202:5412:210:203","A203"
"O","OCKO","dvbc",810000,6900,"64qam",0,0,"P1201:1202:1210:1203","A1203"
"O","ORF2E","dvbc",738000,6900,"256qam",0,0,"P701:702:710:703","A703"
"P","PCNE Chinese","dvbc",810000,6900,"64qam",0,0,"P901:902:912:903:904","A903:904"
"P","PHOENIX","dvbc",362000,6900,"256qam",0,0,"P500:501:504:502:503","A502:503"
"P","Pro TV International","dvbc",818000,6900,"64qam",0,0,"P501:502:503","A503"
"P","ProSieben","dvbc",114000,6900,"256qam",0,0,"P301:302:310:303:307","A303:307"
"Q","QVC","dvbc",442000,6900,"256qam",0,0,"P701:702:710:703","A703"
"Q","QVC Beauty","dvbc",442000,6900,"256qam",0,0,"P1001:1002:1010:1003","A1003"
"Q","QVC HD","dvbc",762000,6900,"64qam",0,0,"P201:202:210:207","A207"
"Q","QVC Plus","dvbc",442000,6900,"256qam",0,0,"P301:302:310:303","A303"
"R","rbb Berlin","dvbc",354000,6900,"256qam",0,0,"P600:601:604:602:603","A602:603"
"R","rbb Brandenburg","dvbc",354000,6900,"256qam",0,0,"P500:601:604:602:603","A602:603"
"R","Record TV","dvbc",562000,6900,"256qam",0,0,"P1101:1102:1103","A1103"
"R","RTL NITRO","dvbc",122000,6900,"256qam",0,0,"P101:102:110:103","A103"
"R","RTL Television","dvbc",114000,6900,"256qam",0,0,"P101:102:110:103:107","A103:107"
"R","RTL2","dvbc",114000,6900,"256qam",0,0,"P501:502:510:503","A503"
"R","Russia Today","dvbc",570000,6900,"256qam",0,0,"P401:402:403","A403"
"S","SAT.1","dvbc",114000,6900,"256qam",0,0,"P201:202:210:203:207","A203:207"
"S","Sat.1 Gold","dvbc",122000,6900,"256qam",0,0,"P701:702:710:703","A703"
"S","Servus TV","dvbc",442000,6900,"256qam",0,0,"P101:102:110:103:104","A103:104"
"S","ServusTV HD","dvbc",762000,6900,"64qam",0,0,"P401:402:410:403:404:407","A403:404:407"
"S","SF1","dvbc",738000,6900,"256qam",0,0,"P501:502:510:503:504","A503:504"
"S","SF2","dvbc",738000,6900,"256qam",0,0,"P601:602:610:603:604","A603:604"
"S","SIXX","dvbc",122000,6900,"256qam",0,0,"P301:302:310:303","A303"
"S","Sky Select","dvbc",402000,6900,"256qam",0,0,"P103:2815:2816:2819","A2816:2819"
"S","SonLife","dvbc",818000,6900,"64qam",0,0,"P1001:1002:1003","A1003"
"S","sonnenklar.TV","dvbc",122000,6900,"256qam",0,0,"P401:402:410:403","A403"
"S","Souvenirs from earth","dvbc",554000,6900,"256qam",0,0,"P1101:1102:1103","A1103"
"S","Sparda Welt","dvbc",130000,6900,"256qam",0,0,"P201:202:203","A203"
"S","SPORT1","dvbc",450000,6900,"256qam",0,0,"P2101:2102:2110:2103","A2103"
"S","Super RTL","dvbc",114000,6900,"256qam",0,0,"P701:702:710:703","A703"
"S","SWR Fernsehen BW","dvbc",346000,6900,"256qam",0,0,"P800:801:804:802:803:806","A802:803:806"
"S","SWR Fernsehen RP","dvbc",354000,6900,"256qam",0,0,"P3100:3101:3104:3102:3103:3106","A3102:3103:3106"
"T","tagesschau24","dvbc",362000,6900,"256qam",0,0,"P100:101:104:102","A102"
"T","Tele 5","dvbc",450000,6900,"256qam",0,0,"P2201:2202:2210:2203","A2203"
"T","TF 1","dvbc",826000,6900,"64qam",0,0,"P101:102:110:103:104:105","A103:104:105"
"T","Thai Global Networks","dvbc",826000,6900,"64qam",0,0,"P401:402:403","A403"
"T","TRT Türk","dvbc",434000,6900,"256qam",0,0,"P1201:1202:1210:1203","A1203"
"T","TV 8","dvbc",826000,6900,"64qam",0,0,"P201:202:203","A203"
"T","TV Chile Nordic","dvbc",810000,6900,"64qam",0,0,"P201:202:203","A203"
"T","TV GALICIA","dvbc",810000,6900,"64qam",0,0,"P801:802:810:803","A803"
"T","TV ROMANIA International","dvbc",810000,6900,"64qam",0,0,"P401:402:410:403","A403"
"T","TV Südbaden","dvbc",130000,6900,"256qam",0,0,"P601:602:610:603","A603"
"T","TV Tunisia 1","dvbc",810000,6900,"64qam",0,0,"P701:702:710:703","A703"
"T","TV5MONDE Europe","dvbc",122000,6900,"256qam",0,0,"P1001:1002:1010:1003","A1003"
"V","Viva","dvbc",122000,6900,"256qam",0,0,"P601:602:612:610:603","A603"
"V","VOX","dvbc",114000,6900,"256qam",0,0,"P401:402:410:403","A403"
"W","WDR Köln","dvbc",346000,6900,"256qam",0,0,"P600:601:604:602:603","A602:603"
"W","World Fashion","dvbc",810000,6900,"64qam",0,0,"P1001:1002:1003","A1003"
"Z","ZDF","dvbc",370000,6900,"256qam",0,0,"P100:110:130:120:121:122:125","A120:121:122:125"
"Z","ZDF HD","dvbc",370000,6900,"256qam",0,0,"P6100:6110:6130:6120:6121:6122:6123","A6120:6121:6122:6123"
"Z","zdf_neo","dvbc",370000,6900,"256qam",0,0,"P650:660:680:670:671:672:675","A670:671:672:675"
"Z","zdf.kultur","dvbc",370000,6900,"256qam",0,0,"P1100:1110:1130:1120:1121:1122:1125","A1120:1121:1122:1125"
"Z","ZDFinfo","dvbc",370000,6900,"256qam",0,0,"P600:610:630:620:621:622:625","A620:621:622:625"
"Z","Zing","dvbc",810000,6900,"64qam",0,0,"P101:102:110:103","A103"
