CATEGORY,TITLE,SYSTEM,FREQ,SR,MOD,RADIO,ENC,PIDS,TRACKS
"Unitymedia","ProSieben MAXX","dvbc",113000,6900,"256qam",0,0,"P267:613:618:614","A614"
"Unitymedia","DAF - Anleger TV","dvbc",129000,6900,"256qam",0,0,"P264:583:584","A584"
"Unitymedia","Offener Kanal","dvbc",129000,6900,"256qam",0,0,"P263:573:574","A574"
"Unitymedia","Rhein-Main-TV","dvbc",129000,6900,"256qam",0,0,"P267:613:618:614","A614"
"Unitymedia","Unitymedia Infokanal","dvbc",129000,6900,"256qam",0,0,"P257:513:518:514","A514"
"SKY","Sky Select","dvbc",378000,6900,"256qam",0,0,"P103:2815:2816:2819","A2816:2819"
"ZDFvision","ZDF HD","dvbc",394000,6900,"256qam",0,0,"P6100:6110:6130:6120:6121:6122:6123","A6120:6121:6122:6123"
"ZDFvision","ZDF","dvbc",394000,6900,"256qam",0,0,"P100:110:130:120:121:122:125","A120:121:122:125"
"ZDFvision","3sat","dvbc",394000,6900,"256qam",0,0,"P200:210:230:220:221:222:225","A220:221:222:225"
"ZDFvision","KiKA","dvbc",394000,6900,"256qam",0,0,"P300:310:330:320:321:325","A320:321:325"
"ZDFvision","ZDFinfo","dvbc",394000,6900,"256qam",0,0,"P600:610:630:620:621:622:625","A620:621:622:625"
"ZDFvision","zdf_neo","dvbc",394000,6900,"256qam",0,0,"P650:660:680:670:671:672:675","A670:671:672:675"
"ZDFvision","zdf.kultur","dvbc",394000,6900,"256qam",0,0,"P1100:1110:1130:1120:1121:1122:1125","A1120:1121:1122:1125"
"Unitymedia","Lig TV","dvbc",402000,6900,"256qam",0,0,"P261:553","A"
"Unitymedia","Turkmax","dvbc",402000,6900,"256qam",0,0,"P266:603","A"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P269:633:635:634:2241:2242:2243","A634:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P270:633:635:644:2241:2242:2243","A644:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P271:633:635:654:2241:2242:2243","A654:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P272:633:635:664:2241:2242:2243","A664:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P273:633:635:674:2241:2242:2243","A674:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P274:633:635:684:2241:2242:2243","A684:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P275:633:635:694:2241:2242:2243","A694:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P279:633:635:734:2241:2242:2243","A734:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P280:633:635:744:2241:2242:2243","A744:2241:2242:2243"
"Unitymedia","euronews","dvbc",402000,6900,"256qam",0,0,"P281:633:635:754:2241:2242:2243","A754:2241:2242:2243"
"ARD","Das Erste","dvbc",410000,6900,"256qam",0,0,"P100:101:104:102:103:106","A102:103:106"
"ARD","Bayerisches FS Süd","dvbc",410000,6900,"256qam",0,0,"P200:201:204:202:203:206","A202:203:206"
"ARD","hr-fernsehen","dvbc",410000,6900,"256qam",0,0,"P300:301:304:302:303","A302:303"
"ARD","Bayerisches FS Nord","dvbc",410000,6900,"256qam",0,0,"P500:201:204:202:203:206","A202:203:206"
"ARD","WDR Köln","dvbc",410000,6900,"256qam",0,0,"P600:601:604:602:603","A602:603"
"ARD","SWR Fernsehen BW","dvbc",410000,6900,"256qam",0,0,"P800:801:804:802:803:806","A802:803:806"
"ARD","Das Erste HD","dvbc",418000,6900,"256qam",0,0,"P6000:6010:6030:6020:6021:6022","A6020:6021:6022"
"ARD","BR-alpha","dvbc",418000,6900,"256qam",0,0,"P1400:1401:1404:1402:1403:1406","A1402:1403:1406"
"ARD","tagesschau24","dvbc",418000,6900,"256qam",0,0,"P100:101:104:102","A102"
"ARD","Einsfestival","dvbc",418000,6900,"256qam",0,0,"P200:201:204:202:203:206","A202:203:206"
"ARD","EinsPlus","dvbc",418000,6900,"256qam",0,0,"P300:301:304:302:303:306","A302:303:306"
"ARD","arte","dvbc",418000,6900,"256qam",0,0,"P400:401:404:402:403","A402:403"
"ARD","PHOENIX","dvbc",418000,6900,"256qam",0,0,"P500:501:504:502:503","A502:503"
"ARD","rbb Brandenburg","dvbc",426000,6900,"256qam",0,0,"P500:601:604:602:603","A602:603"
"ARD","rbb Berlin","dvbc",426000,6900,"256qam",0,0,"P600:601:604:602:603","A602:603"
"ARD","NDR FS MV","dvbc",426000,6900,"256qam",0,0,"P2400:2601:2604:2602:2603","A2602:2603"
"ARD","NDR FS HH","dvbc",426000,6900,"256qam",0,0,"P2500:2601:2604:2602:2603","A2602:2603"
"ARD","NDR FS NDS","dvbc",426000,6900,"256qam",0,0,"P2600:2601:2604:2602:2603","A2602:2603"
"ARD","NDR FS SH","dvbc",426000,6900,"256qam",0,0,"P2700:2601:2604:2602:2603","A2602:2603"
"ARD","MDR Sachsen","dvbc",426000,6900,"256qam",0,0,"P2800:2901:2904:2902:2903","A2902:2903"
"ARD","MDR S-Anhalt","dvbc",426000,6900,"256qam",0,0,"P2900:2901:2904:2902:2903","A2902:2903"
"ARD","MDR Thüringen","dvbc",426000,6900,"256qam",0,0,"P3000:2901:2904:2902:2903","A2902:2903"
"ARD","SWR Fernsehen RP","dvbc",426000,6900,"256qam",0,0,"P3100:3101:3104:3102:3103:3106","A3102:3103:3106"
"Unitymedia","TRT Türk","dvbc",434000,6900,"256qam",0,0,"P268:623:626:625:624","A624"
"Unitymedia","RTL Television","dvbc",442000,6900,"256qam",0,0,"P258:523:528:524:525","A524:525"
"Unitymedia","SAT.1","dvbc",442000,6900,"256qam",0,0,"P259:533:538:534:536","A534:536"
"Unitymedia","ProSieben","dvbc",442000,6900,"256qam",0,0,"P260:543:548:544:545","A544:545"
"Unitymedia","VOX","dvbc",442000,6900,"256qam",0,0,"P261:553:558:554","A554"
"Unitymedia","RTL2","dvbc",442000,6900,"256qam",0,0,"P262:563:568:564","A564"
"Unitymedia","kabel eins","dvbc",442000,6900,"256qam",0,0,"P263:573:578:574","A574"
"Unitymedia","Super RTL","dvbc",442000,6900,"256qam",0,0,"P265:583:588:584","A584"
"Unitymedia","n-tv","dvbc",442000,6900,"256qam",0,0,"P266:593:598:594","A594"
"Unitymedia","N24","dvbc",442000,6900,"256qam",0,0,"P267:603:608:604","A604"
"Unitymedia","DAS VIERTE","dvbc",450000,6900,"256qam",0,0,"P257:513:518:514","A514"
"Unitymedia","Nick/Comedy Central","dvbc",450000,6900,"256qam",0,0,"P259:533:539:538:534","A534"
"Unitymedia","EUROSPORT","dvbc",450000,6900,"256qam",0,0,"P260:543:548:544","A544"
"Unitymedia","SPORT1","dvbc",450000,6900,"256qam",0,0,"P278:723:728:724","A724"
"Unitymedia","Tele 5","dvbc",450000,6900,"256qam",0,0,"P279:733:738:734","A734"
"Unitymedia","Bibel TV","dvbc",466000,6900,"256qam",0,0,"P266:603:606:604","A604"
"Unitymedia","K-TV","dvbc",466000,6900,"256qam",0,0,"P261:553:558:554","A554"
"Unitymedia","Servus TV","dvbc",522000,6900,"256qam",0,0,"P262:563:568:564","A564"
"Unitymedia","HSE24 TREND","dvbc",522000,6900,"256qam",0,0,"P261:553:558:554","A554"
"Unitymedia","QVC Plus","dvbc",522000,6900,"256qam",0,0,"P257:513:518:514","A514"
"Unitymedia","iM1","dvbc",522000,6900,"256qam",0,0,"P258:523:524","A524"
"Unitymedia","Juwelo","dvbc",522000,6900,"256qam",0,0,"P259:533:534","A534"
"Unitymedia","QVC","dvbc",522000,6900,"256qam",0,0,"P263:573:578:574","A574"
"Unitymedia","HSE24","dvbc",522000,6900,"256qam",0,0,"P264:583:588:584","A584"
"Unitymedia","DELUXE MUSIC","dvbc",522000,6900,"256qam",0,0,"P260:543:544","A544"
"Unitymedia","HSE24 EXTRA","dvbc",522000,6900,"256qam",0,0,"P265:593:598:594","A594"
"Unitymedia","QVC Beauty","dvbc",522000,6900,"256qam",0,0,"P267:613:618:614","A614"
"Unitymedia","SIXX","dvbc",530000,6900,"256qam",0,0,"P263:573:578:574","A574"
"Unitymedia","Viva","dvbc",530000,6900,"256qam",0,0,"P257:513:519:518:514","A514"
"Unitymedia","Channel21","dvbc",530000,6900,"256qam",0,0,"P258:523:528:524","A524"
"Unitymedia","1-2-3.tv","dvbc",530000,6900,"256qam",0,0,"P259:533:538:534","A534"
"Unitymedia","DMAX","dvbc",530000,6900,"256qam",0,0,"P260:543:548:544","A544"
"Unitymedia","CNN","dvbc",530000,6900,"256qam",0,0,"P261:553:554","A554"
"Unitymedia","sonnenklar.TV","dvbc",530000,6900,"256qam",0,0,"P262:563:568:564","A564"
"Unitymedia","TV5MONDE Europe","dvbc",530000,6900,"256qam",0,0,"P264:583:588:584","A584"
"Unitymedia","SAT.1 Gold","dvbc",530000,6900,"256qam",0,0,"P266:603:608:604","A604"
"Unitymedia","RTL NITRO","dvbc",530000,6900,"256qam",0,0,"P267:613:618:614","A614"
"Unitymedia","SonLife","dvbc",538000,6900,"256qam",0,0,"P268:623:624","A624"
"Unitymedia","CCTV9","dvbc",538000,6900,"256qam",0,0,"P266:603:604","A604"
"Unitymedia","SKY News","dvbc",538000,6900,"256qam",0,0,"P264:583:584","A584"
"Unitymedia","Astro TV","dvbc",546000,6900,"256qam",0,0,"P268:623:628:624","A624"
"Unitymedia","joiz","dvbc",554000,6900,"256qam",0,0,"P257:513:514","A514"
"Unitymedia","Bloomberg","dvbc",554000,6900,"256qam",0,0,"P266:603:604","A604"
"Unitymedia","BBC World News","dvbc",570000,6900,"256qam",0,0,"P257:513:514","A514"
"Unitymedia","France 24","dvbc",570000,6900,"256qam",0,0,"P259:533:534","A534"
"Unitymedia","Al Jazeera International","dvbc",570000,6900,"256qam",0,0,"P260:543:544","A544"
"Unitymedia","Russia Today","dvbc",570000,6900,"256qam",0,0,"P261:553:554","A554"
"Unitymedia","CCTV News","dvbc",570000,6900,"256qam",0,0,"P262:563:564","A564"
"Unitymedia","Unitymedia Videothek","dvbc",610000,6900,"256qam",0,0,"P257:513:514","A514"
"Unitymedia","Mehr Programm","dvbc",610000,6900,"256qam",0,0,"P259:515","A"
"Unitymedia","Programm 25110","dvbc",746000,6900,"256qam",0,0,"P257:513","A"
"ARD","arte HD","dvbc",114000,6900,"256qam",0,0,"P257:513:518:514:515:516","A514:515:516"
"Unitymedia","ServusTV HD","dvbc",762000,6900,"64qam",0,0,"P258:523:528:524:525:526","A524:525:526"
"Unitymedia","QVC HD","dvbc",762000,6900,"64qam",0,0,"P259:533:538:534","A534"
"Unitymedia","HSE24 HD","dvbc",762000,6900,"64qam",0,0,"P260:543:548:544","A544"
